era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,unseed,EE_R9gt0p93,40.0,45.0,0.9816,0.0008,0.0004,0,0,0.9815,0.0004,0.0003,0,0,0.0001,0.000806,0.000412
postBpix,unseed,EE_R9gt0p93,45.0,50.0,0.9846,0.0005,0.0004,0,4,0.9845,0.0005,0.0005,4,0,0.0001,0.00051,0.000412
postBpix,unseed,EE_R9gt0p93,50.0,60.0,0.9852,0.003,0.0006,0,4,0.9879,0.0007,0.0009,4,0,0.0027,0.004036,0.002766
postBpix,unseed,EE_R9gt0p93,60.0,70.0,0.9912,0.0031,0.0026,4,0,0.99,0.0018,0.0019,0,0,0.0012,0.003324,0.002864
postBpix,unseed,EE_R9gt0p93,70.0,90.0,0.9905,0.0014,0.0017,4,0,0.9908,0.0013,0.0014,0,0,0.0003,0.001432,0.001726
postBpix,unseed,EE_R9gt0p93,90.0,999999.0,0.9944,0.001,0.0012,4,0,0.9938,0.001,0.0012,0,0,0.0006,0.001166,0.001342
preBpix,seed,EB_R9_0p50to0p55,0.0,35.0,0.8362,0.0071,0.0071,0,0,0.8229,0.0028,0.0028,4,0,0.0133,0.015076,0.015076
preBpix,seed,EB_R9_0p50to0p55,35.0,37.0,0.9045,0.0031,0.0031,0,0,0.9028,0.0029,0.003,0,0,0.0017,0.003536,0.003536
preBpix,seed,EB_R9_0p50to0p55,37.0,40.0,0.9135,0.0012,0.0012,0,0,0.9135,0.0022,0.0022,0,0,0.0,0.0012,0.0012
preBpix,seed,EB_R9_0p50to0p55,40.0,45.0,0.9265,0.0015,0.0016,0,0,0.9265,0.0016,0.0016,0,4,0.0,0.0015,0.0016
preBpix,seed,EB_R9_0p50to0p55,45.0,50.0,0.9333,0.0032,0.003,0,4,0.9325,0.0021,0.0021,0,4,0.0008,0.003298,0.003105
preBpix,seed,EB_R9_0p50to0p55,50.0,60.0,0.9338,0.0064,0.0052,0,0,0.9314,0.0039,0.0035,0,0,0.0024,0.006835,0.005727
preBpix,seed,EB_R9_0p50to0p55,60.0,70.0,0.9609,0.014,0.0229,0,0,0.9449,0.0082,0.0094,0,0,0.016,0.02126,0.027936
preBpix,seed,EB_R9_0p50to0p55,70.0,90.0,0.9537,0.0145,0.0147,4,0,0.9555,0.0135,0.0144,0,0,0.0018,0.014611,0.01481
preBpix,seed,EB_R9_0p50to0p55,90.0,999999.0,0.9698,0.0221,0.0476,0,0,0.9467,0.0221,0.0206,0,0,0.0231,0.031969,0.052909
preBpix,seed,EB_R9_0p55to0p85,0.0,35.0,0.8769,0.0018,0.0018,4,0,0.8655,0.0007,0.0007,0,0,0.0114,0.011541,0.011541
